瘤痢,瘤痢疙,老矫,扁柯(∑C),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),惯傈樊(kW),浅氢_cos,浅氢_sin,傍扁剐档(kg/m^3),浅氢_墨抛绊府
184,力林,2024-01-01 19:00:00,8.4,1.2,160.0,81.0,1023.5,16.337,-0.9396926207859083,0.3420201433256689,1.2664112623865247,巢浅
184,力林,2024-01-01 20:00:00,8.5,1.1,160.0,80.0,1023.4,15.085,-0.9396926207859083,0.3420201433256689,1.265837932854744,巢浅
184,力林,2024-01-01 21:00:00,8.6,1.3,200.0,80.0,1023.4,15.829,-0.9396926207859084,-0.34202014332566866,1.2653886558599416,巢浅
184,力林,2024-01-01 22:00:00,8.7,1.7,200.0,77.0,1023.4,21.545,-0.9396926207859084,-0.34202014332566866,1.2649396976708838,巢浅
184,力林,2024-01-01 23:00:00,8.7,1.2,200.0,78.0,1023.3,23.392,-0.9396926207859084,-0.34202014332566866,1.2648160959806678,巢浅
184,力林,2024-01-02 00:00:00,8.8,0.4,0.0,76.0,1022.8,10.799,1.0,0.0,1.2637497108360143,合浅
184,力林,2024-01-02 01:00:00,9.0,0.6,180.0,74.0,1022.3,19.575,-1.0,1.2246467991473532e-16,1.262236559589854,巢浅
184,力林,2024-01-02 02:00:00,8.9,1.8,180.0,74.0,1022.1,26.575,-1.0,1.2246467991473532e-16,1.2624370537688445,巢浅
184,力林,2024-01-02 03:00:00,8.7,1.5,180.0,74.0,1021.9,23.698,-1.0,1.2246467991473532e-16,1.2630856723176433,巢浅
184,力林,2024-01-02 04:00:00,8.4,1.1,180.0,74.0,1021.6,20.916,-1.0,1.2246467991473532e-16,1.2640603279473117,巢浅
184,力林,2024-01-02 05:00:00,8.2,2.3,180.0,75.0,1021.4,29.333,-1.0,1.2246467991473532e-16,1.2647112531039306,巢浅
184,力林,2024-01-02 06:00:00,8.4,1.6,180.0,74.0,1021.3,26.694,-1.0,1.2246467991473532e-16,1.2636891277726992,巢浅
184,力林,2024-01-02 07:00:00,8.0,1.8,200.0,74.0,1021.4,18.34,-0.9396926207859084,-0.34202014332566866,1.2656109232110646,巢浅
184,力林,2024-01-02 08:00:00,7.1,1.7,160.0,76.0,1020.9,17.45,-0.9396926207859083,0.3420201433256689,1.2690537926096481,巢浅
184,力林,2024-01-02 09:00:00,7.3,1.7,180.0,76.0,1021.1,4.379,-1.0,1.2246467991473532e-16,1.2683972175133844,巢浅
184,力林,2024-01-02 10:00:00,10.4,0.8,230.0,64.0,1021.4,3.68,-0.6427876096865395,-0.7660444431189779,1.2548986459558837,巢辑浅
184,力林,2024-01-02 11:00:00,12.5,1.7,340.0,55.0,1021.0,0.937,0.9396926207859084,-0.3420201433256686,1.2451852354813278,合浅
184,力林,2024-01-02 12:00:00,13.6,3.5,20.0,53.0,1019.6,0.691,0.9396926207859084,0.3420201433256687,1.2387077335861125,合浅
184,力林,2024-01-02 13:00:00,12.7,3.0,340.0,52.0,1018.8,0.863,0.9396926207859084,-0.3420201433256686,1.2416328337055054,合浅
184,力林,2024-01-02 14:00:00,11.6,4.0,320.0,59.0,1018.3,5.146,0.7660444431189778,-0.6427876096865396,1.24581759379379,合辑浅
184,力林,2024-01-02 15:00:00,11.3,3.5,320.0,61.0,1018.1,7.741,0.7660444431189778,-0.6427876096865396,1.2468865725435296,合辑浅
184,力林,2024-01-02 16:00:00,11.2,3.3,320.0,63.0,1018.0,8.188,0.7660444431189778,-0.6427876096865396,1.247202561714857,合辑浅
184,力林,2024-01-02 17:00:00,10.8,2.6,320.0,66.0,1018.0,14.745,0.7660444431189778,-0.6427876096865396,1.2489594943603437,合辑浅
184,力林,2024-01-02 18:00:00,10.5,2.6,360.0,67.0,1018.2,13.331,1.0,-2.4492935982947064e-16,1.2505260803680394,合浅
184,力林,2024-01-02 19:00:00,10.4,1.6,340.0,67.0,1018.5,22.643,0.9396926207859084,-0.3420201433256686,1.251335687199988,合浅
184,力林,2024-01-02 20:00:00,10.1,2.7,50.0,70.0,1018.3,19.02,0.6427876096865394,0.766044443118978,1.2524150391272082,合悼浅
184,力林,2024-01-02 21:00:00,10.0,2.3,50.0,70.0,1018.0,17.581,0.6427876096865394,0.766044443118978,1.2524882515402425,合悼浅
184,力林,2024-01-02 22:00:00,9.9,1.9,20.0,71.0,1017.9,6.672,0.9396926207859084,0.3420201433256687,1.2528076710377398,合浅
184,力林,2024-01-02 23:00:00,9.9,2.4,320.0,70.0,1017.6,7.344,0.7660444431189778,-0.6427876096865396,1.2524384380076667,合辑浅
184,力林,2024-01-03 00:00:00,9.6,1.6,230.0,72.0,1017.7,144.236,-0.6427876096865395,-0.7660444431189779,1.2538904934198318,巢辑浅
184,力林,2024-01-03 01:00:00,9.6,1.7,250.0,71.0,1017.6,20.42,-0.34202014332566855,-0.9396926207859084,1.2537672851567463,辑浅
184,力林,2024-01-03 02:00:00,9.8,2.9,270.0,68.0,1017.1,22.613,-1.8369701987210297e-16,-1.0,1.2522654680902388,辑浅
184,力林,2024-01-03 03:00:00,9.8,3.7,320.0,65.0,1016.8,39.094,0.7660444431189778,-0.6427876096865396,1.251896104566075,合辑浅
184,力林,2024-01-03 04:00:00,9.6,2.4,270.0,63.0,1016.0,59.266,-1.8369701987210297e-16,-1.0,1.2517959529473803,辑浅
184,力林,2024-01-03 05:00:00,9.6,2.1,290.0,64.0,1015.5,56.867,0.342020143325669,-0.9396926207859083,1.2511799116319535,辑浅
184,力林,2024-01-03 06:00:00,8.3,5.7,20.0,81.0,1015.8,54.073,0.9396926207859084,0.3420201433256687,1.257330365688744,合浅
184,力林,2024-01-03 07:00:00,7.9,4.1,360.0,80.0,1016.4,85.089,1.0,-2.4492935982947064e-16,1.2598635625028336,合浅
184,力林,2024-01-03 08:00:00,7.4,5.2,340.0,79.0,1017.1,119.322,0.9396926207859084,-0.3420201433256686,1.2629781293749176,合浅
184,力林,2024-01-03 09:00:00,7.2,5.0,320.0,74.0,1017.5,143.013,0.7660444431189778,-0.6427876096865396,1.2643761824208406,合辑浅
184,力林,2024-01-03 10:00:00,7.7,5.0,320.0,68.0,1017.7,149.286,0.7660444431189778,-0.6427876096865396,1.2623732847230102,合辑浅
184,力林,2024-01-03 11:00:00,8.2,4.8,340.0,64.0,1017.5,157.643,0.9396926207859084,-0.3420201433256686,1.2598822205142446,合浅
184,力林,2024-01-03 12:00:00,8.6,5.8,340.0,58.0,1017.4,132.689,0.9396926207859084,-0.3420201433256686,1.2579699222903113,合浅
184,力林,2024-01-03 13:00:00,8.9,5.9,320.0,55.0,1017.0,164.855,0.7660444431189778,-0.6427876096865396,1.2561378374747234,合辑浅
184,力林,2024-01-03 14:00:00,9.1,5.5,340.0,56.0,1016.8,195.317,0.9396926207859084,-0.3420201433256686,1.2550008956137144,合浅
184,力林,2024-01-03 15:00:00,8.9,6.0,320.0,52.0,1017.1,215.781,0.7660444431189778,-0.6427876096865396,1.2562613515197063,合辑浅
184,力林,2024-01-03 16:00:00,8.8,6.2,320.0,51.0,1017.7,208.109,0.7660444431189778,-0.6427876096865396,1.2574482603811223,合辑浅
184,力林,2024-01-03 17:00:00,8.8,7.1,340.0,54.0,1018.4,225.374,0.9396926207859084,-0.3420201433256686,1.2583131653455193,合浅
184,力林,2024-01-03 18:00:00,8.7,7.3,340.0,48.0,1019.1,210.717,0.9396926207859084,-0.3420201433256686,1.2596248249915944,合浅
184,力林,2024-01-03 19:00:00,8.7,6.5,320.0,46.0,1019.5,202.602,0.7660444431189778,-0.6427876096865396,1.2601192317524585,合辑浅
184,力林,2024-01-03 20:00:00,8.6,7.2,320.0,42.0,1019.6,216.102,0.7660444431189778,-0.6427876096865396,1.2606901245991757,合辑浅
184,力林,2024-01-03 21:00:00,8.4,7.9,320.0,46.0,1020.1,216.794,0.7660444431189778,-0.6427876096865396,1.262204327074249,合辑浅
184,力林,2024-01-03 22:00:00,7.7,6.9,320.0,43.0,1020.7,206.952,0.7660444431189778,-0.6427876096865396,1.266094538387321,合辑浅
184,力林,2024-01-03 23:00:00,7.7,5.3,320.0,52.0,1020.4,186.019,0.7660444431189778,-0.6427876096865396,1.26572241302089,合辑浅
184,力林,2024-01-04 00:00:00,7.6,5.4,320.0,46.0,1020.4,23.08,0.7660444431189778,-0.6427876096865396,1.26617324914307,合辑浅
184,力林,2024-01-04 01:00:00,7.4,3.7,360.0,49.0,1020.6,135.056,1.0,-2.4492935982947064e-16,1.2673242344312663,合浅
184,力林,2024-01-04 02:00:00,7.4,4.1,320.0,48.0,1020.7,101.317,0.7660444431189778,-0.6427876096865396,1.2674484088614477,合辑浅
184,力林,2024-01-04 03:00:00,7.3,3.3,320.0,53.0,1020.5,84.691,0.7660444431189778,-0.6427876096865396,1.2676519052711868,合辑浅
184,力林,2024-01-04 04:00:00,7.5,2.6,360.0,63.0,1020.2,69.983,1.0,-2.4492935982947064e-16,1.2663761461754577,合浅
184,力林,2024-01-04 05:00:00,7.2,3.4,320.0,57.0,1020.1,71.091,0.7660444431189778,-0.6427876096865396,1.2676070208230952,合辑浅
184,力林,2024-01-04 06:00:00,6.6,1.8,230.0,61.0,1020.5,48.879,-0.6427876096865395,-0.7660444431189779,1.2708238671431789,巢辑浅
184,力林,2024-01-04 07:00:00,6.3,3.0,230.0,64.0,1020.9,40.384,-0.6427876096865395,-0.7660444431189779,1.2726867968468558,巢辑浅
184,力林,2024-01-04 08:00:00,5.8,2.9,200.0,61.0,1021.4,18.03,-0.9396926207859084,-0.34202014332566866,1.2755924397232148,巢浅
184,力林,2024-01-04 09:00:00,6.4,2.7,200.0,60.0,1022.0,16.981,-0.9396926207859084,-0.34202014332566866,1.2736023390417286,巢浅
184,力林,2024-01-04 10:00:00,9.2,2.9,230.0,49.0,1022.5,7.213,-0.6427876096865395,-0.7660444431189779,1.2615892316665562,巢辑浅
184,力林,2024-01-04 11:00:00,9.5,2.5,270.0,47.0,1022.4,6.98,-1.8369701987210297e-16,-1.0,1.2601269500253482,辑浅
184,力林,2024-01-04 12:00:00,10.5,3.3,290.0,42.0,1021.6,7.544,0.342020143325669,-0.9396926207859083,1.2547018696758878,辑浅
184,力林,2024-01-04 13:00:00,11.0,3.4,320.0,45.0,1021.1,7.883,0.7660444431189778,-0.6427876096865396,1.2518810475158497,合辑浅
184,力林,2024-01-04 14:00:00,11.3,3.8,290.0,45.0,1020.4,11.16,0.342020143325669,-0.9396926207859083,1.2497034266019227,辑浅
184,力林,2024-01-04 15:00:00,11.5,3.8,290.0,46.0,1020.0,9.831,0.342020143325669,-0.9396926207859083,1.2483358199591335,辑浅
184,力林,2024-01-04 16:00:00,11.4,4.3,290.0,47.0,1020.1,9.124,0.342020143325669,-0.9396926207859083,1.2488969540950794,辑浅
184,力林,2024-01-04 17:00:00,10.2,3.6,250.0,51.0,1020.4,6.14,-0.34202014332566855,-0.9396926207859084,1.2545549309931778,辑浅
184,力林,2024-01-04 18:00:00,9.3,3.0,200.0,54.0,1020.2,3.751,-0.9396926207859084,-0.34202014332566866,1.2583057724345623,巢浅
184,力林,2024-01-04 19:00:00,8.1,3.8,180.0,59.0,1020.3,3.4,-1.0,1.2246467991473532e-16,1.263798409104105,巢浅
184,力林,2024-01-04 20:00:00,7.4,3.6,180.0,62.0,1020.6,4.94,-1.0,1.2246467991473532e-16,1.2673242344312663,巢浅
184,力林,2024-01-04 21:00:00,7.5,2.7,200.0,63.0,1020.7,8.018,-0.9396926207859084,-0.34202014332566866,1.2669967970998721,巢浅
184,力林,2024-01-04 22:00:00,7.8,2.6,230.0,63.0,1020.6,9.143,-0.6427876096865395,-0.7660444431189779,1.265519893111556,巢辑浅
184,力林,2024-01-04 23:00:00,8.3,3.3,250.0,63.0,1020.5,11.996,-0.34202014332566855,-0.9396926207859084,1.263147901344126,辑浅
184,力林,2024-01-05 00:00:00,6.4,2.9,200.0,59.0,1020.2,15.692,-0.9396926207859084,-0.34202014332566866,1.2713592038066257,巢浅
184,力林,2024-01-05 01:00:00,5.5,1.6,200.0,67.0,1019.9,34.766,-0.9396926207859084,-0.34202014332566866,1.2750904504395477,巢浅
184,力林,2024-01-05 02:00:00,4.8,2.6,180.0,56.0,1019.9,50.254,-1.0,1.2246467991473532e-16,1.278301687407735,巢浅
184,力林,2024-01-05 03:00:00,4.4,2.7,180.0,54.0,1019.8,64.145,-1.0,1.2246467991473532e-16,1.2800184358803552,巢浅
184,力林,2024-01-05 04:00:00,4.4,2.8,160.0,52.0,1019.6,65.841,-0.9396926207859083,0.3420201433256689,1.279767402651118,巢浅
184,力林,2024-01-05 05:00:00,4.4,2.9,160.0,57.0,1019.8,52.15,-0.9396926207859083,0.3420201433256689,1.2800184358803552,巢浅
184,力林,2024-01-05 06:00:00,5.6,4.4,200.0,57.0,1020.1,25.884,-0.9396926207859084,-0.34202014332566866,1.2748829714358916,巢浅
184,力林,2024-01-05 07:00:00,7.0,3.6,180.0,64.0,1020.3,24.164,-1.0,1.2246467991473532e-16,1.2687606730698895,巢浅
184,力林,2024-01-05 08:00:00,8.9,4.1,200.0,67.0,1020.5,23.217,-0.9396926207859084,-0.34202014332566866,1.2604608290491202,巢浅
184,力林,2024-01-05 09:00:00,10.1,3.2,230.0,60.0,1020.6,24.426,-0.6427876096865395,-0.7660444431189779,1.2552438269009414,巢辑浅
184,力林,2024-01-05 10:00:00,11.3,3.9,230.0,58.0,1020.9,14.217,-0.6427876096865395,-0.7660444431189779,1.2503157861798344,巢辑浅
184,力林,2024-01-05 11:00:00,12.7,3.0,250.0,54.0,1020.6,22.745,-0.34202014332566855,-0.9396926207859084,1.2438265312915575,辑浅
184,力林,2024-01-05 12:00:00,13.6,4.4,270.0,50.0,1019.8,28.126,-1.8369701987210297e-16,-1.0,1.2389507127413864,辑浅
184,力林,2024-01-05 13:00:00,14.2,4.6,270.0,47.0,1018.6,39.412,-1.8369701987210297e-16,-1.0,1.234908895917675,辑浅
184,力林,2024-01-05 14:00:00,15.0,5.4,250.0,44.0,1017.8,37.06,-0.34202014332566855,-0.9396926207859084,1.2305131846289947,辑浅
184,力林,2024-01-05 15:00:00,14.7,5.2,270.0,46.0,1017.4,31.56,-1.8369701987210297e-16,-1.0,1.2313115358877722,辑浅
184,力林,2024-01-05 16:00:00,14.8,4.4,270.0,42.0,1017.3,25.066,-1.8369701987210297e-16,-1.0,1.2307629396385062,辑浅
184,力林,2024-01-05 17:00:00,13.9,3.7,270.0,52.0,1017.6,18.603,-1.8369701987210297e-16,-1.0,1.2349858905349942,辑浅
184,力林,2024-01-05 18:00:00,12.9,2.7,250.0,59.0,1018.0,12.124,-0.34202014332566855,-0.9396926207859084,1.2397904157441693,辑浅
184,力林,2024-01-05 19:00:00,12.3,3.2,230.0,55.0,1018.2,18.19,-0.6427876096865395,-0.7660444431189779,1.2426404718738635,巢辑浅
184,力林,2024-01-05 20:00:00,11.8,3.1,230.0,57.0,1018.3,19.3,-0.6427876096865395,-0.7660444431189779,1.2449431824277302,巢辑浅
184,力林,2024-01-05 21:00:00,11.4,2.4,200.0,62.0,1018.2,14.067,-0.9396926207859084,-0.34202014332566866,1.2465708054696694,巢浅
184,力林,2024-01-05 22:00:00,11.3,3.0,230.0,65.0,1018.1,20.089,-0.6427876096865395,-0.7660444431189779,1.2468865725435296,巢辑浅
184,力林,2024-01-05 23:00:00,11.4,1.6,320.0,64.0,1018.2,27.854,0.7660444431189778,-0.6427876096865396,1.2465708054696694,合辑浅
184,力林,2024-01-06 00:00:00,11.3,0.8,320.0,68.0,1018.3,84.696,0.7660444431189778,-0.6427876096865396,1.247131516374694,合辑浅
184,力林,2024-01-06 01:00:00,11.3,2.0,340.0,73.0,1018.1,12.654,0.9396926207859084,-0.3420201433256686,1.2468865725435296,合浅
184,力林,2024-01-06 02:00:00,11.3,2.3,360.0,72.0,1018.1,26.732,1.0,-2.4492935982947064e-16,1.2468865725435296,合浅
184,力林,2024-01-06 03:00:00,11.0,4.0,20.0,73.0,1018.1,37.633,0.9396926207859084,0.3420201433256687,1.248203010944948,合浅
184,力林,2024-01-06 04:00:00,10.6,4.5,20.0,71.0,1018.0,59.794,0.9396926207859084,0.3420201433256687,1.2498398182330206,合浅
184,力林,2024-01-06 05:00:00,10.3,3.9,360.0,70.0,1018.1,85.08,1.0,-2.4492935982947064e-16,1.2512855373434715,合浅
184,力林,2024-01-06 06:00:00,9.6,4.3,340.0,69.0,1018.5,92.518,0.9396926207859084,-0.3420201433256686,1.2548761595245148,合浅
184,力林,2024-01-06 07:00:00,9.1,3.0,320.0,68.0,1019.1,83.77,0.7660444431189778,-0.6427876096865396,1.2578397056647683,合辑浅
184,力林,2024-01-06 08:00:00,8.6,3.7,340.0,66.0,1019.6,111.729,0.9396926207859084,-0.3420201433256686,1.2606901245991757,合浅
184,力林,2024-01-06 09:00:00,8.6,3.0,360.0,64.0,1020.5,122.146,1.0,-2.4492935982947064e-16,1.2618029346346202,合浅
184,力林,2024-01-06 10:00:00,8.9,3.7,20.0,60.0,1020.8,122.598,0.9396926207859084,0.3420201433256687,1.2608313711840686,合浅
184,力林,2024-01-06 11:00:00,9.9,3.2,50.0,52.0,1020.6,124.643,0.6427876096865394,0.766044443118978,1.2561307683083969,合悼浅
184,力林,2024-01-06 12:00:00,10.4,3.1,20.0,46.0,1019.8,89.455,0.9396926207859084,0.3420201433256687,1.252932875607803,合浅
184,力林,2024-01-06 13:00:00,10.4,3.2,50.0,49.0,1019.3,49.341,0.6427876096865394,0.766044443118978,1.252318572374028,合悼浅
184,力林,2024-01-06 14:00:00,11.7,1.9,50.0,41.0,1018.8,34.784,0.6427876096865394,0.766044443118978,1.2459917342977662,合悼浅
184,力林,2024-01-06 15:00:00,11.4,3.0,320.0,41.0,1019.0,77.91,0.7660444431189778,-0.6427876096865396,1.2475502364698419,合辑浅
184,力林,2024-01-06 16:00:00,10.7,3.3,320.0,43.0,1019.1,99.495,0.7660444431189778,-0.6427876096865396,1.2507495399819655,合辑浅
184,力林,2024-01-06 17:00:00,9.4,3.3,340.0,43.0,1019.7,97.768,0.9396926207859084,-0.3420201433256686,1.257243955909415,合浅
184,力林,2024-01-06 18:00:00,8.5,3.7,340.0,49.0,1020.3,102.365,0.9396926207859084,-0.3420201433256686,1.2620035595971226,合浅
184,力林,2024-01-06 19:00:00,8.3,3.9,340.0,46.0,1020.7,100.492,0.9396926207859084,-0.3420201433256686,1.2633954560528657,合浅
184,力林,2024-01-06 20:00:00,8.1,3.6,340.0,47.0,1020.9,89.155,0.9396926207859084,-0.3420201433256686,1.2645416013470359,合浅
184,力林,2024-01-06 21:00:00,7.8,4.2,340.0,48.0,1021.3,85.11,0.9396926207859084,-0.3420201433256686,1.266387876577339,合浅
184,力林,2024-01-06 22:00:00,7.6,3.7,340.0,52.0,1021.6,122.944,0.9396926207859084,-0.3420201433256686,1.2676622807963154,合浅
184,力林,2024-01-06 23:00:00,7.7,4.2,340.0,55.0,1021.8,97.13,0.9396926207859084,-0.3420201433256686,1.267458998064235,合浅
184,力林,2024-01-07 00:00:00,7.7,4.4,320.0,47.0,1021.7,97.817,0.7660444431189778,-0.6427876096865396,1.2673349562754246,合辑浅
184,力林,2024-01-07 01:00:00,8.1,5.6,320.0,48.0,1021.4,63.613,0.7660444431189778,-0.6427876096865396,1.2651609282161451,合辑浅
184,力林,2024-01-07 02:00:00,7.9,5.5,320.0,45.0,1021.4,91.096,0.7660444431189778,-0.6427876096865396,1.26606123843014,合辑浅
184,力林,2024-01-07 03:00:00,7.9,6.7,340.0,45.0,1021.3,125.16,0.9396926207859084,-0.3420201433256686,1.2659372849115937,合浅
184,力林,2024-01-07 04:00:00,7.8,7.5,320.0,49.0,1021.2,158.31,0.7660444431189778,-0.6427876096865396,1.26626387893937,合辑浅
184,力林,2024-01-07 05:00:00,6.9,6.0,340.0,59.0,1021.4,161.65,0.9396926207859084,-0.3420201433256686,1.2705820784173927,合浅
184,力林,2024-01-07 06:00:00,6.5,6.2,360.0,63.0,1021.7,157.729,1.0,-2.4492935982947064e-16,1.2727731895939673,合浅
184,力林,2024-01-07 07:00:00,6.8,7.5,340.0,53.0,1022.1,146.203,0.9396926207859084,-0.3420201433256686,1.2719070227379978,合浅
184,力林,2024-01-07 08:00:00,6.5,7.2,340.0,49.0,1023.0,159.833,0.9396926207859084,-0.3420201433256686,1.2743926523976006,合浅
184,力林,2024-01-07 09:00:00,6.3,5.5,320.0,51.0,1023.6,165.373,0.7660444431189778,-0.6427876096865396,1.2760527037441882,合辑浅
184,力林,2024-01-07 10:00:00,6.5,5.5,320.0,45.0,1024.3,156.194,0.7660444431189778,-0.6427876096865396,1.276012115201234,合辑浅
184,力林,2024-01-07 11:00:00,6.6,5.5,340.0,50.0,1024.2,151.113,0.9396926207859084,-0.3420201433256686,1.2754314598021008,合浅
184,力林,2024-01-07 12:00:00,6.9,6.1,320.0,46.0,1023.7,173.038,0.7660444431189778,-0.6427876096865396,1.2734431894222489,合辑浅
184,力林,2024-01-07 13:00:00,6.3,6.2,20.0,64.0,1023.7,180.362,0.9396926207859084,0.3420201433256687,1.2761773669626078,合浅
184,力林,2024-01-07 14:00:00,5.8,5.6,340.0,56.0,1023.6,184.547,0.9396926207859084,-0.3420201433256686,1.2783399464467229,合浅
184,力林,2024-01-07 15:00:00,5.9,7.0,340.0,53.0,1023.6,191.248,0.9396926207859084,-0.3420201433256686,1.2778818421835276,合浅
184,力林,2024-01-07 16:00:00,5.8,6.0,340.0,54.0,1023.9,202.652,0.9396926207859084,-0.3420201433256686,1.2787146064544739,合浅
184,力林,2024-01-07 17:00:00,5.5,6.3,360.0,59.0,1024.4,203.624,1.0,-2.4492935982947064e-16,1.28071640104939,合浅
184,力林,2024-01-07 18:00:00,5.2,4.5,360.0,60.0,1024.7,193.407,1.0,-2.4492935982947064e-16,1.2824721988919514,合浅
184,力林,2024-01-07 19:00:00,5.3,6.3,20.0,57.0,1025.0,181.746,0.9396926207859084,0.3420201433256687,1.2823869562605021,合浅
184,力林,2024-01-07 20:00:00,5.6,6.2,20.0,59.0,1024.8,176.21,0.9396926207859084,0.3420201433256687,1.280756856315559,合浅
184,力林,2024-01-07 21:00:00,5.4,5.4,20.0,53.0,1025.1,150.089,0.9396926207859084,0.3420201433256687,1.2820516428186113,合浅
184,力林,2024-01-07 22:00:00,5.0,6.4,20.0,60.0,1025.5,140.909,0.9396926207859084,0.3420201433256687,1.2843963100940996,合浅
184,力林,2024-01-07 23:00:00,4.7,4.2,20.0,58.0,1025.7,117.861,0.9396926207859084,0.3420201433256687,1.2860338597280854,合浅
184,力林,2024-01-08 00:00:00,4.6,5.0,20.0,58.0,1025.6,0.274,0.9396926207859084,0.3420201433256687,1.2863714519858185,合浅
184,力林,2024-01-08 01:00:00,4.5,4.6,360.0,54.0,1025.6,78.993,1.0,-2.4492935982947064e-16,1.2868347588296816,合浅
184,力林,2024-01-08 02:00:00,4.2,3.3,20.0,56.0,1025.5,54.798,0.9396926207859084,0.3420201433256687,1.2881010768079098,合浅
184,力林,2024-01-08 03:00:00,3.8,4.8,20.0,56.0,1025.2,50.946,0.9396926207859084,0.3420201433256687,1.2895841207564962,合浅
184,力林,2024-01-08 04:00:00,3.6,4.8,20.0,56.0,1025.1,54.662,0.9396926207859084,0.3420201433256687,1.290390190088976,合浅
184,力林,2024-01-08 05:00:00,3.2,3.9,20.0,57.0,1025.3,60.554,0.9396926207859084,0.3420201433256687,1.2925100755559944,合浅
184,力林,2024-01-08 06:00:00,2.8,3.1,360.0,57.0,1024.9,73.71,1.0,-2.4492935982947064e-16,1.293878640457871,合浅
184,力林,2024-01-08 07:00:00,2.8,2.4,340.0,60.0,1025.3,61.09,0.9396926207859084,-0.3420201433256686,1.2943836179739048,合浅
184,力林,2024-01-08 08:00:00,3.1,2.8,20.0,59.0,1025.7,58.31,0.9396926207859084,0.3420201433256687,1.293482381630583,合浅
184,力林,2024-01-08 09:00:00,3.6,1.8,70.0,57.0,1025.7,44.502,0.3420201433256688,0.9396926207859083,1.2911454667586215,悼浅
184,力林,2024-01-08 10:00:00,4.2,3.1,20.0,57.0,1025.8,41.386,0.9396926207859084,0.3420201433256687,1.2884778981858156,合浅
184,力林,2024-01-08 11:00:00,6.0,3.4,50.0,51.0,1025.2,28.179,0.6427876096865394,0.766044443118978,1.279420821219816,合悼浅
184,力林,2024-01-08 12:00:00,6.8,2.8,360.0,49.0,1024.2,14.679,1.0,-2.4492935982947064e-16,1.2745202746191737,合浅
184,力林,2024-01-08 13:00:00,7.1,3.5,50.0,53.0,1023.5,5.671,0.6427876096865394,0.766044443118978,1.272285783853438,合悼浅
